AircraftId,Date,AircraftType,Origin,Destination,DepartureAEST,ArrivalAEST,Duration,,,,,,,,,,,,,,,,,,,
FD248,5/7/2022,BE20,Menindee (YMED),White Cliffs (YWHC),1:48 pm,2:28 pm,40,,,,,,,,,,,,,,,,,,,
FD480,5/7/2022,B350,Mackay (MKY / YBMK),Brisbane (BNE / YBBN),1:52 pm,3:27 pm,95,,,,,,,,,,,,,,,,,,,
FD602,5/7/2022,PC12,Kalgoorlie-Boulder (KGI / YPKG),Laverton (LVO / YLTN),1:53 pm,2:34 pm,41,,,,,,,,,,,,,,,,,,,
AM273,5/7/2022,B350,Newcastle-Williamtown Airport / RAAF (NTL / YWLM),Sydney (SYD / YSSY),2:11 pm,2:37 pm,26,,,,,,,,,,,,,,,,,,,
FD416,5/7/2022,BE20,Mount Isa (ISA / YBMA),Birdsville (BVI / YBDV),2:27 pm,3:52 pm,85,,,,,,,,,,,,,,,,,,,
FD423,5/7/2022,B350,Townsville Int'l / RAAF (TSV / YBTL),Richmond (RCM / YRMD),2:28 pm,3:31 pm,63,,,,,,,,,,,,,,,,,,,
FD248,5/7/2022,BE20,White Cliffs (YWHC),Broken Hill (BHQ / YBHI),2:41 pm,3:12 pm,31,,,,,,,,,,,,,,,,,,,
FD596,5/7/2022,PC12,Mount Gambier (MGB / YMTG),Adelaide Int'l (ADL / YPAD),2:46 pm,3:44 pm,58,,,,,,,,,,,,,,,,,,,
FD602,5/7/2022,PC12,Laverton (LVO / YLTN),Leonora (LNO / YLEO),3:09 pm,3:26 pm,17,,,,,,,,,,,,,,,,,,,
FD849,5/7/2022,PC12,Adelaide Int'l (ADL / YPAD),Alice Springs (ASP / YBAS),3:09 pm,5:51 pm,162,,,,,,,,,,,,,,,,,,,
FD609,5/7/2022,PC12,Broome Int'l (BME / YBRM),Halls Creek (HCQ / YHLC),3:28 pm,4:51 pm,83,,,,,,,,,,,,,,,,,,,
FD607,5/7/2022,PC12,Broome Int'l (BME / YBRM),Mount Barnet (YBAN),3:43 pm,4:47 pm,64,,,,,,,,,,,,,,,,,,,
FD478,5/7/2022,BE20,Brisbane (BNE / YBBN),Bundaberg (BDB / YBUD),3:52 pm,4:44 pm,52,,,,,,,,,,,,,,,,,,,
FD423,5/7/2022,B350,Richmond (RCM / YRMD),Townsville Int'l / RAAF (TSV / YBTL),3:53 pm,4:45 pm,52,,,,,,,,,,,,,,,,,,,
FD602,5/7/2022,PC12,Leonora (LNO / YLEO),Kalgoorlie-Boulder (KGI / YPKG),3:55 pm,4:31 pm,36,,,,,,,,,,,,,,,,,,,
FD425,5/7/2022,BE20,Brisbane (BNE / YBBN),Emerald (EMD / YEML),3:57 pm,5:38 pm,101,,,,,,,,,,,,,,,,,,,
FD416,5/7/2022,BE20,Birdsville (BVI / YBDV),Bedourie (BEU / YBIE),4:25 pm,4:48 pm,23,,,,,,,,,,,,,,,,,,,
FD416,5/7/2022,BE20,Birdsville (BVI / YBDV),Mount Isa (ISA / YBMA),4:25 pm,Diverted,NA,,,,,,,,,,,,,,,,,,,
FD619,5/7/2022,PC12,Meekatharra (MKR / YMEK),Shark Bay (MJK / YSHK),4:27 pm,5:52 pm,85,,,,,,,,,,,,,,,,,,,
AM273,5/7/2022,B350,Sydney (SYD / YSSY),Canberra Int'l (CBR / YSCB),4:31 pm,5:06 pm,35,,,,,,,,,,,,,,,,,,,
FD489,5/7/2022,BE20,Brisbane (BNE / YBBN),Rockhampton (ROK / YBRK),4:34 pm,6:14 pm,100,,,,,,,,,,,,,,,,,,,
FD596,5/7/2022,PC12,Adelaide Int'l (ADL / YPAD),Millicent (MLR / YMCT),4:40 pm,5:31 pm,51,,,,,,,,,,,,,,,,,,,
FD629,5/7/2022,PC12,Jandakot (JAD / YPJT),Leinster (LER / YLST),4:40 pm,6:14 pm,94,,,,,,,,,,,,,,,,,,,
FD629,5/7/2022,PC12,Jandakot (JAD / YPJT),Bronzewing (YBWG),4:40 pm,Diverted,NA,,,,,,,,,,,,,,,,,,,
FD609,5/7/2022,PC12,Halls Creek (HCQ / YHLC),Broome Int'l (BME / YBRM),5:12 pm,6:32 pm,80,,,,,,,,,,,,,,,,,,,
FD480,5/7/2022,B350,Brisbane (BNE / YBBN),Townsville Int'l / RAAF (TSV / YBTL),5:24 pm,8:52 pm,208,,,,,,,,,,,,,,,,,,,
FD416,5/7/2022,BE20,Bedourie (BEU / YBIE),Mount Isa (ISA / YBMA),5:25 pm,6:18 pm,53,,,,,,,,,,,,,,,,,,,
FD543,5/7/2022,PC12,Adelaide Int'l (ADL / YPAD),Port Augusta (PUG / YPAG),5:27 pm,6:09 pm,42,,,,,,,,,,,,,,,,,,,
FD607,5/7/2022,PC12,Mount Barnet (YBAN),Broome Int'l (BME / YBRM),5:49 pm,6:46 pm,57,,,,,,,,,,,,,,,,,,,
FD425,5/7/2022,BE20,Emerald (EMD / YEML),Rockhampton (ROK / YBRK),6:14 pm,6:48 pm,34,,,,,,,,,,,,,,,,,,,
FD630J,5/7/2022,PC24,Broome Int'l (BME / YBRM),Jandakot (JAD / YPJT),6:21 pm,8:58 pm,157,,,,,,,,,,,,,,,,,,,
FD596,5/7/2022,PC12,Millicent (MLR / YMCT),Mount Gambier (MGB / YMTG),6:29 pm,6:39 pm,10,,,,,,,,,,,,,,,,,,,
FD619,5/7/2022,PC12,Shark Bay (MJK / YSHK),Geraldton (GET / YGEL),6:31 pm,7:19 pm,48,,,,,,,,,,,,,,,,,,,
